Name,ApplicationRole,InputParameters,OutputParameters,ResultSets
configuring.usp_UPD_doc_rb_attr_list,configurator,@recordid:System.Int64;@radioblistid:System.Int32,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_doc_rb_attr_posn,configurator,@recordid:System.Int64;@listposition:System.Int32,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_doc_rb_list_posn,configurator,@recordid:System.Int64;@listposition:System.Int32,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_doc_rb_list_text,configurator,@recordid:System.Int64;@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_doc_rb_restriction,configurator,@recordid:System.Int64;@restricted:System.Boolean,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_doc_real_field_name,configurator,@recordid:System.Int64;@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_doc_text_field_name,configurator,@recordid:System.Int64;@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_file_date_field_name,configurator,@recordid:System.Int64;@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_file_int_field_name,configurator,@recordid:System.Int64;@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_file_ms_attr_fg_link,configurator,@filtergroupid:System.Int64;@filemsattrid:System.Int64;@newfilemsattrid:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_file_ms_attr_list,configurator,@recordid:System.Int64;@filemslistid:System.Int32,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_file_ms_attr_posn,configurator,@recordid:System.Int64;@listposition:System.Int32,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_file_ms_attr_text,configurator,@recordid:System.Int64;@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String,0
configuring.usp_UPD_file_ms_list_posn,configurator,@recordid:System.Int64;@listposition:System.Int32,@message:System.String;@transaction_status:System.String,0
