CommandId,Label,Roles,ActionType,Reference,Shortcut,Description,Icon,Actions,Objects,Fields,Weight
rid-upd-user-role-link-notes-form,Update User Role Link Notes,Authorizer,FORM,rid-upd-user-role-link-notes-form,,Update the record note for a user role link.,,Update;Change;Revise,Users,,
rid-upd-wf-funct-output-file-form,Update File To Workflow Output Step for Function,Editor;Reviewer,FORM,rid-upd-wf-funct-output-file-form,,Update a workflow function output file record. ,,Update;Change;Revise,Files;Workflow,DutyFunctionField;Workflow,15
rid-upd-wf-input-step-file-form,Update File To Workflow Input Step Link,Editor,FORM,rid-upd-wf-input-step-file-form,,Update a workflow step input file record. ,,Update;Change;Revise,Files;Workflow,Workflow Output,
rid-upd-wf-inst-def-pres-step-form,Update Workflow Instance Present Step,Controller,FORM,rid-upd-wf-inst-def-pres-step-form,,Update the present step for a workflow instance.,,Update;Change;Revise,Workflow,,
rid-upd-wf-people-output-file-form,Update File To Workflow Output Step for Person,Editor;Reviewer,FORM,rid-upd-wf-people-output-file-form,,Update a workflow persons output file record. ,,Update;Change;Revise,Files;Workflow,User; Workflow Output,5
rid-upd-wf-step-duty-funct-form,Update Workflow Step Duty Function Link,Controller,FORM,rid-upd-wf-step-duty-funct-form,,Update a workflow step duty funcion record. ,,Update;Change;Revise,Workflow,DutyFunctionField,
rid-upd-wf-step-status-defn-form,Update Workflow Instance Step Status Definition,Configurator,FORM,rid-upd-wf-step-status-defn-form,,Update a workflow instance step status definition name.,,Update;Change;Revise,Workflow,,
rid-upd-wf-step-status-def-psn-form,Update Step Status Defintion List Position,Configurator,FORM,rid-upd-wf-step-status-def-psn-form,,Update the list position for a step status definition name.,,Update;Change;Revise,Workflow,,
rid-upd-workflow-action-form,Update Workflow Model Workflow Action,Configurator,FORM,rid-upd-workflow-action-form,,Update a workflow instance workflow action name.,,Update;Change;Revise,Workflow,,
rid-upd-workflow-action-posn-form,Update List Position of Workflow Action,Configurator,FORM,rid-upd-workflow-action-posn-form,,Update the list position for a workflow action.,,Update;Change;Revise,Workflow,,
rid-upd-workflow-instance-def-form,Update Workflow Instance,Controller,FORM,rid-upd-workflow-instance-def-form,,Update a workflow instance definition record. ,,Update;Change;Revise,Workflow,,
rid-upd-workflow-instance-step-form,Update Workflow Instance Step,Controller,FORM,rid-upd-workflow-instance-step-form,,Update a workflow instance step record. ,,Update;Change;Revise,Workflow,,
